neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Waterfront Communities-The Island,43.64105,-79.37628000000001,Private room,99,180,169,0
Annex,43.66724,-79.41598,Private room,66,1,0,0
Briar Hill-Belgravia,43.696020000000004,-79.45468000000001,Private room,72,1,211,262
Waterfront Communities-The Island,43.6453,-79.3894,Entire home/apt,199,4,38,323
Greenwood-Coxwell,43.6689,-79.32592,Entire home/apt,54,120,26,0
Waterfront Communities-The Island,43.64151,-79.37643,Entire home/apt,132,180,1,365
South Parkdale,43.63532,-79.44049,Entire home/apt,124,30,106,280
Oakridge,43.69458,-79.28681,Entire home/apt,69,2,82,272
Wexford/Maryvale,43.74858,-79.29111,Entire home/apt,90,2,30,320
Rosedale-Moore Park,43.67185,-79.38583,Entire home/apt,140,1,49,273
Rosedale-Moore Park,43.67136,-79.38598,Private room,110,1,8,333
Church-Yonge Corridor,43.65972,-79.38172,Entire home/apt,144,1,75,338
Rosedale-Moore Park,43.67191,-79.38585,Private room,105,1,9,317
Rosedale-Moore Park,43.67105,-79.38481,Private room,105,1,18,257
Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,160,1,51,352
Niagara,43.642959999999995,-79.40451,Private room,56,91,24,179
Niagara,43.6458,-79.40769,Private room,65,60,22,268
Niagara,43.6444,-79.40829000000001,Private room,65,30,16,226
Niagara,43.64585,-79.40853,Private room,87,20,11,104
Palmerston-Little Italy,43.65853,-79.42709,Private room,56,2,61,317
Rosedale-Moore Park,43.67094,-79.38580999999999,Entire home/apt,150,1,44,348
Dufferin Grove,43.65956,-79.43228,Entire home/apt,144,5,272,135
Niagara,43.641709999999996,-79.40469,Entire home/apt,109,30,29,349
Niagara,43.64457,-79.40451,Entire home/apt,144,3,6,0
Church-Yonge Corridor,43.67033,-79.38611999999999,Entire home/apt,144,1,24,340
Briar Hill-Belgravia,43.69662,-79.45325,Private room,62,1,86,265
Niagara,43.64458,-79.41022,Entire home/apt,229,3,117,113
South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,18,297
Annex,43.67175,-79.40398,Entire home/apt,160,2,6,0
High Park North,43.65623,-79.46667,Entire home/apt,56,120,12,172
